"t","e2t_sqrtpi","et_sqrtpi","integral","et","e2t","scaling","ref","fit","fit_adj","A","B","nuf","b_scaled","z_scaled","lambda","theta","sigma","c","prefactor_dif"
0.1,0.689102713470467,0.623525920018191,4.90878099904904e-07,1.10517091807565,1.22140275816017,0.793031962594773,8.48505966897638e-07,7.97489374562955e-07,8.48505966897638e-07,3.91452788811431e-07,1.90657872168447,-3.55459516845712e-08,0.4,2.4,1,1,0.5,2,1.15081822650341
0.252631578947368,0.935100017309424,0.726342680379794,0.0121150974909984,1.2874088809162,1.6574216266619,0.948727570837652,0.0313316314412703,0.031166532301712,0.0313316314412703,0.0148611063476792,1.66824703403924,-0.00298313018333093,0.4,2.4,1,1,0.5,2,1.01457336464118
0.405263157894737,1.26891394458217,0.84611348526764,0.0642202129523717,1.49969710526572,2.24909140754237,1.31452792084045,0.267454115502673,0.264524776233761,0.267454115502673,0.122230838619787,1.73524268539976,-0.0350406397827087,0.4,2.4,1,1,0.5,2,1.03594725745827
0.557894736842105,1.72189345412265,0.985633984192441,0.079745869564324,1.74699075086524,3.05197668360869,1.84286989390255,0.555692290114621,0.546044918727577,0.555692290114621,0.243208059684693,1.90083946783372,-0.0870788780682217,0.4,2.4,1,1,0.5,2,1.07025779643349
0.710526315789474,2.33657852056053,1.14816081732555,0.0572918969933287,2.0350620621275,4.14147759671063,2.64677037976836,0.719875802423967,0.702104322378063,0.719875802423967,0.298844351008596,2.13232222800577,-0.126337826391575,0.4,2.4,1,1,0.5,2,1.13275473367504
0.863157894736842,3.17069512615498,1.33748763088945,0.0284315321120638,2.3706351019085,5.61991078640074,4.05034259600174,0.756763973376599,0.731754248090355,0.756763973376599,0.293746743066797,2.42340915911552,-0.143541499551681,0.4,2.4,1,1,0.5,2,1.27743047970477
1.01578947368421,4.30257639302924,1.55803362716136,0.0073932468801624,2.76154270230244,7.62611809663985,8.42215648514936,0.714146780281824,0.683689707618178,0.714146780281824,0.253662363101548,2.77608868922602,-0.143445465761842,0.4,2.4,1,1,0.5,2,1.95746820411937
1.16842105263158,5.83851896233927,1.81494671599413,-0.00434369247248157,3.21690929595211,10.3485054183831,-2.00795990629755,0.633716167313729,0.599633476116545,0.633716167313729,0.199160881539943,3.19631621802464,-0.133226281881123,0.4,2.4,1,1,0.5,2,-0.343915968972556
1.32105263157895,7.92276546880675,2.11422367558227,-0.00937718804486553,3.74736389546142,14.0427361650078,4.06122205783799,0.541675126888516,0.50546470818045,0.541675126888516,0.14240994219563,3.69272238890914,-0.118435122265009,0.4,2.4,1,1,0.5,2,0.512601575021714
1.47368421052632,10.7510505795406,2.46285012722494,-0.010511368133703,4.36528819220298,19.0557410009868,7.20833742257976,0.452096006378646,0.414857244193716,0.452096006378646,0.0894838994098336,4.27624766964403,-0.10251548299259,0.4,2.4,1,1,0.5,2,0.67047749140882
1.62631578947368,14.5889827256555,2.86896359132927,-0.00973250681013989,5.08510556555929,25.8582986128821,10.7333527965071,0.371477142600509,0.333952198057694,0.371477142600509,0.0428458839180271,4.96014320693363,-0.0873147547967394,0.4,2.4,1,1,0.5,2,0.735716327748609
1.77894736842105,19.7969877822459,3.34204343065217,-0.00821737312769593,5.92361774855291,35.0892472309711,15.2515355643897,0.302066190861831,0.264714513953594,0.302066190861831,0.00303888001306122,5.76015524429732,-0.0736707347899704,0.4,2.4,1,1,0.5,2,0.770396776123054
1.93157894736842,26.8641571945369,3.89313211437105,-0.00657937460937657,6.90039700820091,47.615478870788,21.2512612769017,0.24391794589457,0.206988601009007,0.24391794589457,-0.0303154166849616,6.69482727244339,-0.0618467593848602,0.4,2.4,1,1,0.5,2,0.791063762879685
2.08421052631579,36.4541792777182,4.5350929676547,-0.00509531624715304,8.03824299473409,64.6133504423917,29.3082821837444,0.1960738773977,0.159663271834292,0.1960738773977,-0.0579699377156781,7.78589693244859,-0.051808903328688,0.4,2.4,1,1,0.5,2,0.803975916189627
2.23684210526316,49.467667166654,5.28291042303705,-0.00386063444282814,9.36371492330091,87.6791571648482,40.1667270250851,0.157203009717203,0.121295479855979,0.157203009717203,-0.0807715006352936,9.05878294023622,-0.0433881198781618,0.4,2.4,1,1,0.5,2,0.811979406462923
2.38947368421053,67.1267367252609,6.15403978195988,-0.00288248501461803,10.9077515101605,118.979043007409,54.80826242614,0.125931845848988,0.0904240282788145,0.125931845848988,-0.0995278535245318,10.5431664244831,-0.0363689312163087,0.4,2.4,1,1,0.5,2,0.816489302175697
2.54210526315789,91.0897772519172,7.16881465049956,-0.00213091577613946,12.7063931337058,161.452426468286,74.5290295470374,0.101002243487915,0.0657126849389217,0.101002243487915,-0.114953336251616,12.2736765826681,-0.0305345070857494,0.4,2.4,1,1,0.5,2,0.8181931254582
2.69473684210526,123.607193267321,8.35092155950449,-0.00156487803773991,14.8016230767536,219.088045706285,101.026975087917,0.081338288556083,0.0460030010397582,0.081338288556083,-0.127654376934492,14.2906946503388,-0.0256871739972592,0.4,2.4,1,1,0.5,2,0.817322782092701
2.84736842105263,167.732743326071,9.72795284756556,-0.00114422759064317,17.2423474860949,297.298546831242,136.491428351217,0.066068870383395,0.0303216958211935,0.066068870383395,-0.138133762554343,16.641293810348,-0.0216557615802326,0.4,2.4,1,1,0.5,2,0.813743492443088
3,227.61032299184,11.3320507120263,-0.000834405652287231,20.0855369231877,403.428793492735,183.667476848047,0.0545331765749427,0.0178670173749735,0.0545331765749427,-0.146802610529994,19.3803363179835,-0.0182963268598826,0.4,2.4,1,1,0.5,2,0.806938254969356
